id,dialogue_id,dialogue_step,en_text,ru_text,es_text,ru_text_en,es_text_en,en_text_ru,es_text_ru,en_text_es,ru_text_es,speaker
1,1,1,"Hello, SkyTravel. How can I assist you today?","Здравствуйте, SkyTravel. Чем могу помочь сегодня?","Hola, SkyTravel. ¿En qué puedo ayudarle hoy?",zdravstvuite skytravel chem mogu pomoch segodnya,ola skytravel en ke puedo ayudarle oi,хэллоу скайтрэвел хау кэн ай эссист ю тудэй,ола скайтрэвел эн ке пуэдо аюдарле ой,jellou skaitravel jau ken ai asist iu tudei,zdravstvuite skytravel chem mogu pomoch segodnia,NPC
2,1,2,I need a flight to Paris next Friday.,Мне нужен рейс в Париж на следующую пятницу.,Necesito un vuelo a París el próximo viernes.,mne nuzhen reys v parizh na sleduyushchuyu pyatnitsu,nesesito un buelo a paris el proksimo biernes,ай нид э флайт ту пэрис некст фрайдэй,несесито ун вуэло а парис эль проксимо вьернес,ai nid a flait tu peris nekst fraidei,mne nujen reis v parij na sleduiuschuiu piatnitsu,User
3,1,3,One-way or round-trip?,В одну сторону или туда-обратно?,¿Ida o ida y vuelta?,v odnu storonu ili tuda-obratno,ida o ida i buelta,уан-уэй ор раунд-трип,ида о ида и вуэльта,uan-uei or raund-trip,v odnu storonu ili tuda-obratno,NPC
4,1,4,"Round-trip, returning Sunday.","Туда-обратно, возвращение в воскресенье.","Ida y vuelta, regreso el domingo.",tuda-obratno vozvrashchenie v voskresenie,ida i buelta regreso el domingo,раунд-трип ритурнинг сандэй,ида и вуэльта регресо эль доминго,raund-trip riturning sandei,tuda-obratno vozvrashchenie v voskresenie,User
5,2,1,Welcome to City Hotel. Do you have a reservation?,Добро пожаловать в City Hotel. У вас есть бронь?,Bienvenido al City Hotel. ¿Tiene reservación?,dobro pozhalovat v city hotel u vas est bron,bienbenido al city hotel tiene reserbasion,уэлком ту сити хотел ду ю хэв э резэрвэйшн,бьенвенидо аль сити отель тьене ресервасьон,uelkom tu siti jotel du iu jev a rezervashn,dobro pozhalovat v city hotel u vas est bron,NPC
6,2,2,Not yet. Do you have rooms for two nights?,Пока нет. Есть номера на две ночи?,Aún no. ¿Tienen habitaciones por dos noches?,poka net est nomera na dve nochi,aun no tienen abitaciones por dos noches,нот йет ду ю хэв румз фор ту найтс,аун но тьенен абитасьонес пор дос ночес,not iet du iu jev rumz for tu naits,poka net est nomera na dve nochi,User
7,2,3,"Yes, we have a double room available.","Да, у нас есть двухместный номер.","Sí, tenemos una habitación doble disponible.",da u nas est dvukhmestnyy nomer,si tenemos una abitasion doble disponible,йес уи хэв э дабл рум эвэйлэбл,си тенемос уна абитасьон добле диспонибле,ies ui jev a dabl rum aveilabl,da u nas est dvujmestnii nomer,NPC
8,2,4,Perfect. I’ll book it.,Отлично. Забронирую.,Perfecto. La reservo.,otlichno zabroniruyu,perfekto la reserbo,перфект айл бук ит,перфекто ла ресерво,perfekt ail buk it,otlichno zabroniruiu,User
9,3,1,"Hi, Rent-a-Car. What type of vehicle do you need?","Привет, Rent-a-Car. Какой тип машины вам нужен?","Hola, Rent-a-Car. ¿Qué tipo de vehículo necesita?",privet rent-a-car kakoy tip mashiny vam nuzhen,ola rent-a-car ke tipo de behikulo nesesita,хай рент-э-кар уот тайп оф виикл ду ю нид,ола рент-а-кар ке типо де вейкуло несесита,jai rent-a-kar uot taip of viikl du iu nid,privet rent-a-car kakoi tip mashini vam nujen,NPC
10,3,2,"A compact car for four days, please.","Компактный автомобиль на четыре дня, пожалуйста.","Un coche compacto por cuatro días, por favor.",kompaktnyy avtomobil na chetyre dnya pozhaluysta,un koche kompacto por kuatro dias por fabor,э компэкт кар фор фор дэйз плиз,ун коче компакто пор куатро диас пор фавор,a kompekt kar for for deiz pliz,kompaktnii avtomobil na chetire dnia pozhaluista,User
11,3,3,Automatic or manual?,Автомат или механика?,¿Automático o manual?,avtomat ili mekhanika,automatiko o manual,отомэтик ор мэнъюал,аутоматико о мануаль,otometik or menjual,avtomat ili mejanika,NPC
12,3,4,"Automatic, please.","Автомат, пожалуйста.","Automático, por favor.",avtomat pozhaluysta,automatiko por fabor,отомэтик плиз,аутоматико пор фавор,otometik pliz,avtomat pozhaluista,User
13,4,1,Good morning. Where are you traveling to?,Доброе утро. Куда вы едете?,Buenos días. ¿A dónde viaja?,dobroe utro kuda vy edete,buenos dias a donde biaja,гуд морнинг уэр ар ю трэвелинг ту,буэнос диас а донде вьяха,gud morning uer ar iu traveling tu,dobroe utro kuda vi edete,NPC
14,4,2,"From London to Edinburgh, tomorrow morning.","Из Лондона в Эдинбург, завтра утром.","De Londres a Edimburgo, mañana por la mañana.",iz londona v edinburg zavtra utrom,de londres a edimburgo maniana por la maniana,фром ландэн ту эдинбэра туморроу морнинг,де лондрес а эдинбурго маньана пор ла маньана,from landen tu edinbera tumorrou morning,iz londona v edinburg zavtra utrom,User
